id ,(ru),(en),(nl),(sci),images,ID ??????????,???????? ???????????,?????????,Family
1,?????????? ??????????,Beach Daisy,Zeegoudsbloem,Asteriscus maritimus,1,p1_1,BeachDaisy.JPG,Hard,Asteraceae
2,????? ???????,Sea Carrot,"Peen, Wilde peen",Daucus carota,1,p2_1,DaucusCarota2.JPG,Medium,Apiaceae
3,?????????,Agapanthus,Afrikaanse lelie,Agapanthus africanus,2,"p3_1, p3_2","Agapanthus.JPG, Agapanthus_Hard_HartonoSubagio.JPG",Medium (overrides: p046:Hard),Amaryllidaceae
4,???????????,Bougainvillea,Bouganville,Bougainvillea spectabilis,2,"p4_1, p4_2","bougainvillea.JPG, Bougainvillea_Medium_HartonoSubagio.JPG",Hard (overrides: p044:Medium),Nyctaginaceae
5,???????,Camellia,Japanse roos,Camellia japonica,5,"p5_1, p5_2, p5_3, p5_4, p5_5","Camellia.JPG, Camellia_SonnySixteen.JPG, Camellia_Hard_KaramAlani.JPG, Camellia_Hard_PedroOliveira.JPG, CamelliaSasanqua_SonnySixteen.JPG","Medium (overrides: p054:Hard, p095:Hard)",Theaceae
6,???????,Gerbera,Gerbera,Gerbera jamesonii,1,p6_1,Gerbera.JPG,Easy,Asteraceae
7,????????? ??????????,Cape Weed,Kaapse goudsbloem,Arctotheca calendula,0,,,null,Asteraceae
8,???????,Gazania,"Gazania, Middagbloem",Gazania,7,"p8_1, p8_2, p8_3, p8_4, p8_5, p8_6, p8_7","Gazania_AdilBadshah.JPG, Gazania_DigitalBuggu-368742.JPG, Gazania_Hard_BorisAus.JPG, Gazania_Hard_ClaudiaSchmalz.JPG, Gazania_Hard_MarvinHenner.JPG, Gazania_Hard_mbrn01.JPG, Gazania_LeandroHenrique.JPG","Medium (overrides: p109:Hard, p110:Hard, p111:Hard, p112:Hard)",Asteraceae
9,?????????? ???????,Golden Ice Plant,Gele ijsbloem,Lampranthus aureus,0,,,null,
10,????????,Hogweed,Berenklauw,Heracleum,0,,,null,Apiaceae
11,?????? ??????,Wild Parsley,Gewone engelwortel,Angelica sylvestris,0,,,null,Apiaceae
12,?????????,Parsnip,Pastinaak,Pastinaca sativa,1,p12_1,Parsnip_MagdaEhlers.JPG,Easy,Apiaceae
13,???,Allium,Reuzenlook,Allium,4,"p13_1, p13_2, p13_3, p13_4","Allium_AlexOhan.JPG, Allium_ClarissaSchwarz.JPG, Allium_EfremEfre.JPG, AlliumSchoenoprasum_FOCAStock_StockSnap.JPG",Easy,Amaryllidaceae
